Time,Bucket,Size (GB)
2025-09-29 15:19:40.955015,test02,0.244140625
2025-09-29 15:19:40.955015,test03,0.244140625
2025-09-29 15:19:40.955015,test04,0.048828125
2025-09-29 15:19:40.955015,test05,0.146484375
2025-09-29 15:19:40.955015,test06,0.0
2025-09-29 15:19:40.955015,test07,0.0
2025-09-29 15:20:10.975683,test01,0.244140625
2025-09-29 15:20:10.975683,test02,0.244140625
2025-09-29 15:20:10.975683,test03,0.244140625
2025-09-29 15:20:10.975683,test04,0.048828125
2025-09-29 15:20:10.975683,test05,0.146484375
2025-09-29 15:20:10.975683,test06,0.0
2025-09-29 15:20:10.975683,test07,0.0
2025-09-29 15:20:40.967257,test01,0.244140625
2025-09-29 15:20:40.967257,test02,0.244140625
2025-09-29 15:20:40.967257,test03,0.244140625
2025-09-29 15:20:40.967257,test04,0.048828125
2025-09-29 15:20:40.967257,test05,0.146484375
2025-09-29 15:20:40.967257,test06,0.0
2025-09-29 15:20:40.967257,test07,0.0
2025-09-29 15:21:10.982277,test01,0.244140625
2025-09-29 15:21:10.982277,test02,0.244140625
2025-09-29 15:21:10.982277,test03,0.244140625
2025-09-29 15:21:10.982277,test04,0.048828125
2025-09-29 15:21:10.982277,test05,0.146484375
2025-09-29 15:21:10.982277,test06,0.0
2025-09-29 15:21:10.982277,test07,0.0
2025-09-29 15:21:36.700728,test01,0.244140625
2025-09-29 15:21:36.700728,test02,0.244140625
2025-09-29 15:21:36.700728,test03,0.244140625
2025-09-29 15:21:36.700728,test04,0.048828125
2025-09-29 15:21:36.700728,test05,0.146484375
2025-09-29 15:21:36.700728,test06,0.0
2025-09-29 15:21:36.700728,test07,0.0
2025-09-29 15:21:53.118402,test01,0.244140625
2025-09-29 15:21:53.118402,test02,0.244140625
2025-09-29 15:21:53.118402,test03,0.244140625
2025-09-29 15:21:53.118402,test04,0.048828125
2025-09-29 15:21:53.118402,test05,0.146484375
2025-09-29 15:21:53.118402,test06,0.0
2025-09-29 15:21:53.118402,test07,0.0
2025-09-29 15:21:57.982799,test01,0.244140625
2025-09-29 15:21:57.982799,test02,0.244140625
2025-09-29 15:21:57.982799,test03,0.244140625
2025-09-29 15:21:57.982799,test04,0.048828125
2025-09-29 15:21:57.982799,test05,0.146484375
2025-09-29 15:21:57.982799,test06,0.0
2025-09-29 15:21:57.982799,test07,0.0
2025-09-29 15:22:08.555325,test01,0.244140625
2025-09-29 15:22:08.555325,test02,0.244140625
